id_calon,pekerjaan,,
1201-00-0000-0901,"Pramugara Haji GIA Tahun 1974, 1976 dan tahun 1978",,
1201-00-0000-0901,Guru Agama Islam SPP SPMA Negeri Medan tahun 1976 s.d. 1981,,
1201-00-0000-0901,Guru Agama Islam Sekolah Musik Menengah Negeri Medan tahun 1976 s.d. 1977,,
1201-00-0000-0901,Guru MTs. Muhammadiyah Medan Timur tahun 1978,,
1201-00-0000-0901,Anggota DPRD Tk. II Kotamadya Medan tahun 1982 s.d. 1987,,
1201-00-0000-0901,Anggota DPRD Tk. I Sumatera Utara/Ketua Fraksi PPP DPRD Tk. I Sumut tahun 1987 s.d. 1992,,
1201-00-0000-0901,Wakil Ketua DPRD Tk. I Sumatera Utara tahun 1997 s.d. 1999,,
1201-00-0000-0901,Wakil Ketua DPRD Tk. I Sumatera Utara tahun 1999 s.d. 2004,,
1201-00-0000-0901,Anggota DPR RI Periode tahun 2004 s.d. 2009,,
1201-00-0000-0901,Ketua Komisi VIII DPR RI tahun 2005 s.d. 2009,,
1201-00-0000-0901,Anggota DPR RI Periode tahun 2009 s.d. 2014,,
1201-00-0000-0901,Anggota Komisi VIII DPR RI tahun 2009 s.d. 2014,,
1201-00-0000-0901,Anggota Badan Anggaran DPR RI Tahun 2009 s.d. sekarang,,
1201-00-0000-0901,Ketua Fraksi Partai Persatuan Pembangunan DPR RI Periode 2009 s.d. 2014.,,
1201-00-0000-0601,"Ketua Ranting PPP Kel.Tegal Rejo Medan, 1978-1985",,
1201-00-0000-0601,"Guru SMP, SMA dan STM Swasta di Medan, 1980-1995",,
1201-00-0000-0601,Ketua PAC PPP Kecamatan Medan Timur 1985-1990,,
1201-00-0000-0601,Ketua PAC PPP Kecamatan Medan Perjuangan 1990-1995,,
1201-00-0000-0601,"Penatar P4 di BP7 Provinsi Sumatera Utara, 1990-1995",,
1201-00-0000-0601,Wakil Ketua DPC PPP Kota Medan Tahun 1995-2000,,
1201-00-0000-0601,Anggota DPRD Kota Medan Tahun 1997-1999,,
1201-00-0000-0601,Dosen Agams Islam Universitas Sisingamangaraja X11 Medan 1999-2000,,
1201-00-0000-0601,Ketua DPRD Partai Bintang Reformasi (PBR) Sumatera Utara 2002-2006,,
1201-00-0000-0601,"Anggota DPRD Provinsi Sumatera Utara, Ketua Fraksi PBR Periode 2004-2009",,
1201-00-0000-0601,Wakil Ketua Umum DPP Partai Bintang Reformasi (PBR) Jakarta 2006-2011,,
1201-00-0000-0601,Anggota Dewan Penasihat Partai Gerakan Indonesia Raya Jakarta 2012-2017,,
1201-00-0000-1001,2009 - 2014: ANGGOTA DPR RI/MPR RI (FRAKSI PARTAI HANURA),,
1201-00-0000-1001,2004 - 2009: ANGGOTA DPD RI/MPR RI,,
1201-00-0000-1001,1999 - 2004: ANGGOTA MPR RI FRAKSI UTUSAN DAERAH SUMUT,,
1201-00-0000-1001,2010 - SEKARANG:KOMISARIS UTAMA PT NUSANTARA VISION MANDIRI DAN SONVALDY MEDIA NUSANTARA JAKARTA,,
1201-00-0000-1001,2008 - SEKARANG: KOMISARIS UTAMA PT CIMAHI TOURISM CENTRE,,
1201-00-0000-1001,1998 - SEKARANG: KOMISARIS UTAMAN PT BANGKITGIAT USAHA MANDIRI DAN SONVALDY UTAMA PERMATA,,
1201-00-0000-1001,1983 - 1989: PNS (ESELON IV) DEPARTMEN PERTAMBANGAN & ENERGY,,
1201-00-0000-1001,1982 - 1983: BUSINESS DEVELOPMENT MANAGER PT ASTENIA (SALIM GROUP),,
1201-00-0000-1001,1979 - 1982: PRODUCTION SUPERVISOR PT. INALUM,,
1201-00-0000-0301,"1982-1989, PT. PLN PENGATURAN BEBAN JAWA, BALI, MADURA",,
1201-00-0000-0301,"1989-SEKARANG, DIREKTUR ASSASUDIN PRESS, JAKARTA",,
1201-00-0000-0301,"2005-2010, PRESIDEN PKS",,
1201-00-0000-0301,"2010-SEKARANG, MENTERI KOMUNIKASI DAN INFORMATIKA RI",,
1201-00-0000-0701,Sebagai Pegawai Badan Pertanahan Nasional,,
1201-00-0000-0701,"Advokat SK Menteri Kehakiman A 1267 KP04.13.82 Di Jakarta, Tahun 1982",,
1201-00-0000-0701,Penatar BP7 DKI SK Gubernur No.102 Tahun 1983,,
1201-00-0000-0701,Manggala BP7 Pusat Keppres 111/M/1984,,
1201-00-0000-0701,Pendiri LBH MawarSaron,,
1201-00-0000-0701,Komisaris Utama PT. BMN,,
1201-00-0000-0701,Komisaris Utama PT. Prapat Jaya,,
1201-00-0000-0701,Anggota MPR/DPR RI FPD No.A-427 Periode 2009-2013,,
1201-00-0000-0401,"1976-1981, SALES ASSISTANT PT MOON LION GROUP",,
1201-00-0000-0401,"1981-1987, PERSONAL MANAGER PT. KORINDO GROUP",,
1201-00-0000-0401,"1987-1993, GENERA MANAGER PT TAE HWA INDONESIA",,
1201-00-0000-0401,"1989-1997, DIREKTUR PT. PRATAMA ABADI INDUSTRI",,
1201-00-0000-0401,"1999-2009, ANGGOTA DPR RI (2 PERIODE)",,
1201-00-0000-0401,"2012-2014, ANGGOTA DPR RI (PAW)",,
1201-00-0000-0402,"1980-1986, WAKIL KETUA LABORATORIUM SMA SUTOMO",,
1201-00-0000-0402,"1981-1985, ASISTEN DOSEN LABORATORIUM PSIKOLOGI FK-UMI",,
1201-00-0000-0402,"1984-1985, GURU BIOLOGI SMA PKMI PEMATANG SIANTAR",,
1201-00-0000-0402,"1988-1990, KEPALA LABORATORIUM BIOLOGI SMA PKMI",,
1201-00-0000-0402,"1988-1991, GURU BIOLOGI SMA PKMI",,
1201-00-0000-0402,"2003-SEKARANG, PRESIDEN DIREKTUR PT. RAJA ALBATROS EMAS",,
1201-00-0000-0402,"2006-SEKARANG, PRESIDEN KOMISARIS PT. SUKSES CHANTIQ LESTARI",,
1201-00-0000-0402,"1984-1989, KETUA YAYASAN PERGURUAN BRIGJEN KATAMSO SUNGGAL",,
1201-00-0000-0402,"2006-2011, KETUA DEWAN PEMBINA YP SULTAN ISKANDAR MUDA",,
1201-00-0000-0801,"Fachri Harahap & Partners, Konsultan Hukum / Partners, 1998-Sekarang",,
1201-00-0000-0801,"Law Firm Harahap Daneswara & Partners, Konsultan Hukum / Partners, 1996-1998",,
1202-00-0000-0102,StaffPT. MERCUBUANA,,
1202-00-0000-0102,PelaksanaProject di PT. SAETI ENGINEERING (sekar menjadi PT. JHS),,
1202-00-0000-0102,Site Manager di PT. RUHUT SAKTI,,
1202-00-0000-0102,Project Manager di PT. ARIA LOMAK PERDANA,,
1202-00-0000-0102,Direktur Utama PT. TOBAS TEGARINDO,,
1202-00-0000-0102,Pendiri Koperasi SERBA TANI - POMAL di Humbahas,,
1202-00-0000-0501,"2005-2009, BADAN LEGISLASI DPR RI, ANGGOTA, JAKRTA",,
1202-00-0000-0501,"2012-2013, INTITUT BISNIS & INFORMATIKA KOSGORO 57'(IBI-K57), REKTOR,2012-2015 JAKARTA, REKTOR BI-K57 JAKARTA",,
1202-00-0000-0201,Direktur CV. Lestari.,,
1202-00-0000-0201,Ketua Yayasan Panji Aswaja,,
1202-00-0000-0601,"Direktur Utama PT. Bank Sumut, 14 Juni 2000 s/d. sekarang.",,
1202-00-0000-0601,"Pemimpin Cabang PT. Bank Sumut Cabang Tebing Tinggi, 26 Agustus 1996 s/d 13 Juni 2000.",,
1202-00-0000-0601,"Wakil Pemimpin Cabang PT. Bank Sumut Cabang Tebing Tinggi, 05 Juni 1994 s/d 25 Agustus 1996",,
1202-00-0000-0601,"Kepala Seksi Administrasi Cabang Pematang Siantar, 03 September 1990 s/d 04 Juni 1994.",,
1202-00-0000-0601,"Pegawai Biro Personalia BPDSU Kantor Pusat, 01 Maret 1990 s/d 02 September 1990.",,
1202-00-0000-0604,"PT. PENTA VALENT, FORNIER",,
1202-00-0000-0604,PT. ANIS JKT,,
1202-00-0000-1010,"2011 - sekarangDosen Tetap di Universitas International Batam (UIB), Batam:",,
1202-00-0000-1010,"2008 -sekarangDosen Tetap di Universitas Mahendradatta, Bali:",,
1202-00-0000-1010,"2000 - sekarang Managing Partner di Law Offices Rufinus hotmaulana & Partners, Menara Kuningan Lantai 7 unit A, JI. H.R. Rasuna Said Blok X-7 Kav. 5, Jakarta 12940:",,
1202-00-0000-1010,"2004 - 2006 komisaris Utara PT. Mitra Utama Investindo, Wisma Kodel Lt 8 JI. H.R. Rasuna Said kav. B-4, jakarta:",,
1202-00-0000-1010,"1997 - 2000 Managing Partner di Law Offices Ruffinus Hotmaulana, Andrey & Partners, jakarta:",,
1202-00-0000-1010,"1990 - 1996 managing Partner di Law Firm Partahi, Juan Felix & Partnes, Jakarta.",,
1202-00-0000-1010,"1981 - 1989 Inspektur Pengawas Ketenagakerjaan Departemen Tenega Kerja Indonesia, Jakarta:",,
1202-00-0000-1010,1977 - 1979 compradore di PT.Unggul Karya Raya Jakarta:,,
1202-00-0000-1010,"1974 - 1976 Karyawan di PT. Tiga Raksa, Jakarta.",,
1202-00-0000-0301,Ma'had Al-Hikmah Jakarta 1993-2000,,
1202-00-0000-0301,Sekolah Tinggi Tafsir Hadis Bekasi 2002-2004,,
1202-00-0000-0301,"Konsultan""Syariah Consulting Center"" Jakarta",,
1202-00-0000-0706,ANGGOTA DPRD SUMUT (2009-2014),,
1202-00-0000-0401,"Anggota DPR RI 1999-2004, SK No. 143/2002",,
1202-00-0000-0401,Anggota MPR RI Period 1999-2004,PAW,
1202-00-0000-0401,Anggota Komisi I DPR RI Period 2002-2003,,
1202-00-0000-0401,Anggota DPR RI Periode 2004-2009, Hasil Pemilu,
1202-00-0000-0401,Anggota MPR RI Period 2004-2009,,
1202-00-0000-0401,"Ketua Komisi III DPR RI, tahun 2005-2009",,
1202-00-0000-0401,"Ketua Poksi III FPDI Perjuangan DPR RI, tahun 2005 - Sekarang",,
1202-00-0000-0401,Anggota DPR - MPR RI Periode 2009-20014,,
1202-00-0000-0401,Ketua Badan Kehormatan DPR RI Periode 2013 - Sekarang,,
1202-00-0000-0401,Law Office Trimedya Panjaitan & Associates, tahun 1996-2004, Pendiri dan Pimpinan
1202-00-0000-0401,"Law Office ""Panjaitan & Rekan '';tahun 2004-sekarang, Pendiri",,
1202-00-0000-0401,Lembaga Bantuan Hukum Jakarta, tahun 1991 - 1993, Pembela Umum
1202-00-0000-0401,Yayasan Lembaga Bantuan Hukum Indonesia, tahun 1993-1996, Pembela Umum
1202-00-0000-0801,"UIN Syarif Hidayatullah Jakarta, Dosen, 2009-2013",,
1202-00-0000-0801,"IAIN Raden Fatah Palembang, Dosen, 2001-2009",,
1202-00-0000-0801,"STAI Madinatual Ilmi, Depok, Ketua, 2005-2007",,
1202-00-0000-0801,"Ma'arif Institute for Culture and Humanity, Direktur Program, 2004-2006",,
1202-00-0000-0801,"STAI Madinatual Ilmi, Depok, Pembantu Ketua III, 2002-2004",,
1202-00-0000-0801,"STAI Madinatual Ilmi, Depok, Dosen, 2000-2002",,
1202-00-0000-0801,"UHAMKA Jakarta, Dosen, 1998-2000",,
1203-00-0000-0101,1997: Pengacara Praktek Di Kota Binjai,,
1203-00-0000-0101,2002: Walikota Binjai Tahun 2005,,
1203-00-0000-0101,2005: Walikota Binjai Tahun 2010,,
1203-00-0000-0101,2012: Notaris Kabupaten Serdang Bedagai,,
1203-00-0000-0501,"1979-1984, PERUSAHAAN PELAYARAN BESAR, NAHKODA, JAKARTA",,
1203-00-0000-0501,"2002-2004, DPR-RI FRAKSI PARTAI GOLKAR, ANGGOTA, JAKARTA",,
1203-00-0000-0501,"2009-2013, DPR-RI FRAKSI PARTAI GOLKAR, ANGGOTA, JAKARTA",,
1203-00-0000-0503,,,
1203-00-0000-0901,Dosen Fakultas Syari'ah IAIN Sumatera Utara,,
1203-00-0000-0901,Ketua Fraksi PPP DPRD Provinsi Sumatera Utara,,
1203-00-0000-0601,MANGGALA BP7 PUSAT 1980 - 1999,,
1203-00-0000-0601,PENGURUS KADIN PUSAT 1978 - 1987,,
1203-00-0000-0601,ANGGOTA DPR/MPR - RI 1987 - 1992,,
1203-00-0000-0601,ANGGOTA DPR/MPR - RI 2009 - SEKACONG,,
1203-00-0000-0601,KETUA FRKSI GERINDRA MPR - RI 2009 - SEKACONG,,
1203-00-0000-1005,anggota DPRD Propinsi Sumatera Utara 2004-2009,,
1203-00-0000-1005,"PT. Sarinah Jaya, Dirktur Utama",,
1203-00-0000-0301,Staff Islamic Center Holland,,
1203-00-0000-0301,Dosen STID DI Al-Hikmah,,
1203-00-0000-0301,Anggota DPR RI periode 2004-2009,,
1203-00-0000-0301,Anggota DPR RI periode 2009-2004,,
1203-00-0000-0708,Komisaris PT. Penca Sawit Karunieh Mas,,
1203-00-0000-0708,DfuekturCV. Jaya Sar,,
1203-00-0000-0708,Wakil Direktur CV. SemPana Karyra,,
1203-00-0000-0708,Ketua DPRD KEb. k4kat Periodc 2009-2014,,
1203-00-0000-0404,Pengacara swasta,,
1203-00-0000-0405,"Ketua Presidium, Forum Diskusi Advokat Indonesia",,
1203-00-0000-0406,"Anggota, Tim Pemeriksa Hasil Uji Calon Advokat",,
1203-00-0000-0407,"Staf Pengajar, Kursus Advokat, Universitas Indonesia Esa Unggul (IEU)Jakarta",,
1203-00-0000-0408,"Anggota, PERADI (Perhimpunan Advokat Indonesia)",,
1203-00-0000-0409,"Anggota, DPP Asosiasi Advokat Indonesia (AAI), Bidang Advokasi dan Bantuan Hukum",,
1203-00-0000-0801,"CV.Ridho Mandiri Garment, Direktur, 1998-Sekarang",,
1203-00-0000-0801,"MPR/DPR RI, Anggota, 2004-2009",,
1203-00-0000-0801,"MPR/DPR RI, Anggota, 2009-2014",,
1301-00-0000-0102,"1995-2013, PT CENTRA BUANA DIREKTUR, PADANG",,
1301-00-0000-0506,"1988-2005, PT. SEMEN PADANG, KA. BIRO KEUANGAN, DI PADANG",,
1301-00-0000-0506,"2010-2013, PT. SEMEN PADANG, DIREKTUR DANA PENSIUN, DI PADANG",,
1301-00-0000-0901,Anggota DPR RI. 2009-2014,,
1301-00-0000-0901,Anggota DPR RI. 2004-2009,,
1301-00-0000-0901,Komisaris Utama PT. Kaluku Maritima Utama.,,
1301-00-0000-0601,"Kepala Puskesmas Sitiung I Kabupaten Sawahlunto Sijunjung, Tahun 1980-1987",,
1301-00-0000-0601,"Kepala pPuskesmas Sei Dareh Kabupaten Sawahlunto Sijunjung, Tahun 1987-1990",,
1301-00-0000-0601,"Kepala Puskesmas Koto Baru Kabupaten Sawahlunto Sijunjung, Tahun 1990-1991",,
1301-00-0000-0601,"Direktur Rumah Sakit Sei Dareh Kabupaten Sawahlunto Sijunjung, Tahun 1991-1996",,
1301-00-0000-0601,"Direktur Rumah Sakit dr. Adnaan WD Payakumbuh, Tahun 1996-2000",,
1301-00-0000-0601,"Direktur RSUD Achmad Mochtar , Tahun 2000 - 2003",,
1301-00-0000-0601,"Walikota Padang Panjang, Tahun 2003 - 2008",,
1301-00-0000-0601,"Walikota Padang Panjang, Tahun 2008 - 2013",,
1301-00-0000-0301,Anggota DPR RI 2004-sekarang,,
1301-00-0000-0301,Dosen FE UIKA Bogor tahun 1985-sekarang,,
1301-00-0000-0301,Dosen FE Univ. Krisnadwipayana Tahun 1987-2005,,
1301-00-0000-0301,Dosen FE Univ. Djuanda Bogor Tahun 1993-2005,,
1301-00-0000-0301,Dosen STIE Bina Niaga Bogor Tahun 1992-sekarang,,
1301-00-0000-0702,Komandan Peleton Kompi Bantuan (DANTON BAN KIBANT) Yonif 642/K di Sintang KALBAR Tahun 1974,,
1301-00-0000-0702,Komandan Peleton SMS Kompi Bantuan (DANTON SMS),,
1301-00-0000-0702,PS Komandan Kompi Bantuan (DANKIN BANT) Yonif 642/K di Sintang KALBAR Tahun 1976,,
1301-00-0000-0702,Komann Kompi Bantuan (DANKIN BANT) Yonif 642/K di Sintang KALBAR Tahun 1977,,
1301-00-0000-0702,Kepala Seksi Personalia (KASI PERS) yonif642/K di Sintang KALBAR Tahun 1978,,
1301-00-0000-0702,Kepala Seksi Territorial (KASI TER) Kodim 1204/SG di Sanggau KALBAR Tahun 1979,,
1301-00-0000-0702,Kepala Biro Evaluasi Latihan (KARO EVLAT) di KODIKLAT Kodam Jaya Jakarta Tahun 1984,,
1301-00-0000-0702,Guru Militer (GUMIL) di KODIKLAT Kodam Jaya JakartaTahun 1985,,
1301-00-0000-0702,Wakil Komandan Kursus Kejuruan (WADAN SUS JUR) di KODIKLAT Kodam Jaya Jakarta Tahun 1985,,
1301-00-0000-0702,Wakil Komandan Pusat Latihan Pertempuran (WADAN PUS LAT PUR) di KODIKLAT Kodam Jaya Jakarta Tahun 1986,,
1301-00-0000-0702,Kepala Seksi Personalia (KASI PERS) di BRIGIF I/Jaya Sakti Jakarta Tahun 1987,,
1301-00-0000-0702,Wakil Komandan Batalyon lnfantery (WADAN YONIF) 202/TM Kodam Jaya Bekasi Tahun 1988,,
1301-00-0000-0702,Guru Militer Golongan V PUSSENIF di Bandung Tahun 1989,,
1301-00-0000-0702,Kepala Bagian Pendidikan Pengembangan Spesialisasi (KABAG DIK BANG SPES) PUSSENIF di Bandung Tahun 1990,,
1301-00-0000-0702,Komandan Batalyon Infantery (DAN YONIF) 202/TM Kodam Jaya di Bekasi Tahun 1992,,
1301-00-0000-0702,Komandan Kodim 506/Tgr Kodam Jaya di Tangerang Tahun 1994,,
1301-00-0000-0702,Bupati Kepala Daerah Kabupaten Pesisir Selatan (PESSEL) periode 1995 s/d 2000,,
1301-00-0000-0702,Bupati Kepala Daerah Kabupaten Pesisir Selatan (PESSEL) periode 2000 s/d 2005,,
1301-00-0000-0702,Anggota DPR Rl Fraksi Partai Demokrat periode 2009 s/d 2014,,
1301-00-0000-0401,,,
1301-00-0000-0802,"PT. Arpek Primadamor, Direktur Utama, 1974-2003",,
1301-00-0000-0802,"DPRD Provinsi Sumatera Barat, Anggota, 2004-2009",,
1301-00-0000-0802,"Primpinan DPRD Provinsi Sumatera Barat, pimpinan, 2009-sekarang",,
1301-00-0000-0802,"Wirausaha, Direktur, 1074-1981",,
1301-00-0000-0802,"CV.Arpek, Direktur, 1981-2004",,
1301-00-0000-0802,"PT. Arpek primadamor, Direktur, 1994-2004",,
1302-00-0000-0501,"1999-2013, OWNER, JAKARTA",,
1302-00-0000-0902,Analis SDM PT. Gapura Angkasa Tahun 2004-2007.,,
1302-00-0000-0902,Anggota DPR Rl 2009-2014,,
1302-00-0000-0604,"Komisatis PT. Niagara Fantasy Island (MlFAN), Padang Panjang, Sumatera Barat, 2009 s/d sckarang.",,
1302-00-0000-0604,"Dirukuir PT. Nesokaitia Ramanda Utama, Bukiltinggi, Sumatera Barat, 2012 s/d sekaraog,",,
1302-00-0000-0604,"Direktur PT. Kones Taeya Industry, Bekasi, Jawa Barat, 2012 s/d sckarang.",,
1302-00-0000-0302,Dirut PT. Mazida Industry (Tahun 1999-2004),,
1302-00-0000-0302,Anggota DPR RI (Tahun 2004-Sekarang),,
1302-00-0000-0702,"Wakil Ketua Komisi V DPR RI, 2009 - Sekarang.",,
1302-00-0000-0702,"Komisaris Utama PT. Adicitra Mulyatama, 2009-2010",,
1302-00-0000-0702,Direktur Utama PT. Adicitra Mulyatama 1996 - 2009,,
1302-00-0000-0702,"Direktur PT. Teifin Prima Rekayasa, 1995 - 1996",,
1302-00-0000-0401,DPRD Kab. Pasaman Barat Perioda 2004-2009,,
1302-00-0000-0401,DPRD Prov. Sumatera Barat Periode 2009-2014,,
1401-00-0000-0502,"1996-2005, PT. SUMI RUBBER IND., MANAGER, JAKARTA",,
1401-00-0000-0601,Wiraswasta Perkebunan Pribadi,,
1401-00-0000-0301,ANGGOTA DPR RI PERIODR 2004 -2009,,
1401-00-0000-0301,ANGGOTA DPR RI PERIODR 209 -2014,,
1401-00-0000-0701,Direktur CV Anggrek Jaya 1973-1977,,
1401-00-0000-0701,Dirut PT. Graha Feryni Inc 1973-2009,,
1401-00-0000-0701,Dirut PT. Graha Samudra Tama 1980-2009,,
1401-00-0000-0701,Dirut PT. Laut Mas Hitam 1985-2009,,
1401-00-0000-0701,Anggota KPU 1999-2000,,
1401-00-0000-0701,Anggota DPR RI 2009-2014,,
1401-00-0000-0701,Dirut PT. Industri Marmer 1985-2009,,
1401-00-0000-0701,Komisaris Utama PT. Graha Holding 2009,,
1401-00-0000-0701,Komisaris Utama PT. Graha Holding 2009 - sekarang,,
1401-00-0000-0401,Direktur Utama PT.Penata Karya Keluarga Utama ( 1985 - 2011 ),,
1401-00-0000-0401,Komisaris Utama PT. Penata Karya Keluarga Utama (2011 -sekarang),,
1401-00-0000-0801,"PT Arhindo Utama, Direktur Utama, 2009-sekarang",,
1402-00-0000-0501,"1992-1996, PT. MBCM, DIREKTUR UTAMA, JAKARTA",,
1402-00-0000-0501,"1996-2004, PT.MBLP, KOMISARIS UTAMA, JAKARTA",,
1402-00-0000-0501,"2002-2004, LAENACO GROUP, CEO, JAKARTA",,
1402-00-0000-0501,"2004-2009, DPR/MPR RI, ANGGOTA, JAKARTA",,
1402-00-0000-0501,"2009-2014, DPR/MPR RI, ANGGOTA, JAKARTA",,
1402-00-0000-0201,Okt 2009-Sekarang Anggota DPR- RI Periode 2009-2014 Dapil RIAU 2,,
1402-00-0000-0201,Juni 2007-Sept 2009 Menteri Negara Pembangunan Daerah Tertinggal (PDT) Republlk Indonesia Kabinet Indonesia Bersatu,,
