id,candidate_id,vision,mision,resource,id_participant
1,,,"1) Mewujudkan pemerintahan yang baik dan bersih melalui reformasi tata kelola birokrasi
2) Mewujudkan sistem pengelolaan APBD yang akuntabel, transparan, dan berorientasi pada pelayanan publik
3) Meningkatkan kualitas dan kuantitas layanan dasar
4) Meningkatkan dan memantapkan kapasitas infrastruktur dasar
5) Meningkatkan daya saing dan iklim investasi daerah
6) Mewujudkan aparatur yang bersih dan berwibawa
7) Mewujudkan pola pengelolaan sumberdaya alam yang berkeadilan dan berkelanjutan
8) Meningkatkan kapasitas infrastruktur strategis dan berdaya saing
9) Mewujudkan pembangunan kepariwisataan yang tangguh dan berdaya saing
10) Mewujudkan pembangunan Kemaritiman yang integratif dan berdaya saing
11) Pemberdayaan Perempuan dan Perlindungan Anak
12) Mewujudkan pengelolaan lingkungan yang berkelanjutan
13) Meningkatkan daya saing Kepemudaan dan Keolahragaan
14) Menanggulangi Kemiskinan dan Ketertinggalan
15) Meningkatkan Peranan Usaha Kecil, Menengah dan Koperasi (UKMK)
16) Meningkatkan infrastruktur dibidang Informasi dan Telematika
17) Meningkatkan kerukunan kehidupan umat beragama",http://infopilkada.kpu.go.id/assets/eab76cd4/102_visimisi_VISI%20DAN%20MISI%20PASANGAN.pdf,246
2,,"BENGKULU TANGGUH, BERSATU BERSAMA MENGGAPAI UNGGUL
BENGKULU TANGGUH, BERSATU BERSAMA LANJUTKAN INOVASI PEMBANGUNAN UNTUK RAKYAT

BENTANG RATU AGUNG
BENTANG BALAI BUNTAR","1) Membangun Bengkulu maju dan sejahtera
2) Membangun Bengkulu adil dan bermartabat
3) Membangun Bengkulu berlandaskan pembangunan nasional",http://infopilkada.kpu.go.id/assets/eab76cd4/203_visimisi_VISI%20MISI.pdf,624
3,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,441
4,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,494
5,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,511
6,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,509
7,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,537
8,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,749
9,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,775
10,,,,http://infopilkada.kpu.go.id/assets/eab76cd4/,758
