id_calon,riwayat_pendidikan
1601-00-0000-1004,SDN 01 Remban Surulangum Rawas
1601-00-0000-1004,SMPN 07 Kota Bengkulu
1601-00-0000-1004,SPP DATI I Bengkulu
1601-00-0000-1004,Institut Pertanian Bogor (1PB)
1601-00-0000-1004,Universitas Padjadjaran ( UNPAD)
1601-00-0000-1004,Pasca Sarjana Universitas Indonesia (UI)
1601-00-0000-0301,"SI, Sarjana Sastra, UI, 1995"
1601-00-0000-0301,SMA Negeri 14 Jakarta
1601-00-0000-0701,SDN 116 Palembang(1979).
1601-00-0000-0701,SDN Mangunreja Bojonegara (1980).
1601-00-0000-0701,MTS N.II Palembang (1986).
1601-00-0000-0701,Pesantren Al-Khoiriyah Banten (1989).
1601-00-0000-0701,Pondok Pesantren Ar-Risalah (1990).
1601-00-0000-0701,S1 IAIN Raden Fatah Palembang Fakultas Dakwah (1996)
1601-00-0000-0701,S2 Universitas Jayabaya Jakarta (2011 - Sekarang)
1601-00-0000-0401,SR Xaverius Palembang(1961)
1601-00-0000-0401,SMP Xaverius Palembang (1964)
1601-00-0000-0401,SMA V Negeri Jakarta (1967)
1601-00-0000-0401,ITB Bandung 1977
1601-00-0000-0801,"Program S2 Teknik Sipil Uph (universitas Pelita Harapan),Gd. Veteran Lt 14, 2012-"
1601-00-0000-0801,"S1 Arsitektur Universitas Parahyangan Bandung, JI. Raya Ciumjbluit, 1986-1992"
1601-00-0000-0801,"SMA Xaverius 1 Palembang, di Palembang, 1982-1985"
1601-00-0000-0801,"SMP Xaverius 3 Palembang, di Palembang, 1979-1982"
1601-00-0000-0801,"SMP Xaverius 3 Palembang, di Palembang, 1976-1979"
1601-00-0000-0801,"SD Dwi Stanvac Indonesia, Pendopo, Muara Enim Palembang, di palembang, 1972-1976"
1601-00-0000-0801,"TK perwari, Inralaya, OKI, Palembang, di palembang, 1971-1972"
1602-00-0000-0101,"1973-1979, SD TELADAN, METRO LAMPUNG"
1602-00-0000-0101,"1979-1982, SLTP, SMPN 3, PALEMBANG"
1602-00-0000-0101,"1982-1985, SLTA, SMAN 3, PALEMBANG"
1602-00-0000-0101,"1997-2001, S1, SEKOLAH TINGGI ILMU EKONOMI INDONESIA, JAKARTA"
1602-00-0000-0501,"1979-1985, SD, SD NEGERI 09 TEBET, JAKARTA"
1602-00-0000-0501,"1985-1988, SLTP, SMP NEGERI 115 TEBET, JAKARTA"
1602-00-0000-0501,"1988-1991,SLTA, SMA NEGERI 3 SETIABUDI, JAKARTA"
1602-00-0000-0501,"1991-1996, SI, UNIVERSITAS TRISAKTI, JAKARTA"
1602-00-0000-0501,"1997-1998. S2, CLEVELAND STATE UNIVERSITY, USA"
1602-00-0000-0201,SDN 1 Sidomulyo Belitan (1988)
1602-00-0000-0201,SMPN 1 Belitang (1991)
1602-00-0000-0201,SMAN 1 Belitang (1994)
1602-00-0000-0201,Fak. Teknik UBU Jurusan Sipil (1998)
1602-00-0000-0609,SD Santo Yosef Lahat lulus tahun 1973 di Lahat.
1602-00-0000-0609,SMP Santo Yosef Lahat lulus tahun 1976 di Lahat.
1602-00-0000-0609,SMA Santo Yosef Lahat lulus tahun 1980 di Lahat.
1602-00-0000-0609,Universitas Sriwijtas Sriwijaya Palembang Fakultas Teknik Jurusan Teknik Kimia Lulus tahun 1986 di Palembang.
1602-00-0000-0301,"SDN Sakatiga, tahun 1972."
1602-00-0000-0301,"Madrasah Tsanawiyah YPIRUS, Sekatiga, tahun 1975."
1602-00-0000-0301,"Madrasah Aliyah PPRU, Sakatiga, tahun 1978."
1602-00-0000-0301,"Sarjana Muda IAIN Sunan Kalijaga, Yogyakarta, tahun 1983"
1602-00-0000-0301,"Sarjana Lengkap IAIN Sunan Kalijaga Yogyakarta, tahun 1987"
1602-00-0000-0707,SD Negeri 65 Palembang (Lulus 1985)
1602-00-0000-0707,SMP Negeri 1 Palembang (i985-1988)
1602-00-0000-0707,SMA Negeri 1 Palembang (1988-1991)
1602-00-0000-0707,Fakultas Ekonomi Universitas Sriwijaya (199 l-1997)
1602-00-0000-0401,SD Xaverius Baturaja OKU Sumsel 1972
1602-00-0000-0401,SMP NEGERI V Jakarta 1976
1602-00-0000-0401,"SMA NEGERI II Babarsari Sleman, Yogyakarta 1982"
1602-00-0000-0401,"SARJANA HUKUM, Fakultas Hukum Universitas Islam Indonesia, Yogyakarta 1989"
1602-00-0000-0401,"MAGISTER HUKUM, Jurusan Tata Negara Fakultas Hukum Universitas Sriwijaya, Palembang 2012"
1602-00-0000-0404,SDN 82 PALEMBANG TAMAT 1986
1602-00-0000-0404,SMP GAJAH MADA PALEMBANG TAMAT 1989
1602-00-0000-0404,SMAN 3 PALEMBANG TAMAT 1992
1602-00-0000-0404,SARJANA HUKUM UNIVERSITAS LAMPUNG TAMAT 1999
1602-00-0000-0404,MAGISTER HUKUM UNIVERSITAS MUHAMMADYAH PALEMBANG TAMAT 2008
1602-00-0000-0801,"Strata 1 Fakultas Hukum/Hukum Perdata Univ Jayabaya, Jakarta, -1990"
1602-00-0000-0801,"SMA Negeri 3, Palembang, 1968-1971"
1602-00-0000-0801,"SMP, Palembang, 1965-1968"
1602-00-0000-0801,"SR 65, Palembang, 1959-1965"
1701-00-0000-0101,"1975-1981, SD, SDN 5 KOTA BENGKULU, BENGKULU"
1701-00-0000-0101,"1 98 1 - I 984, SLTP, SLTPN 4 KOTA BENGKULU, BENGKULU"
1701-00-0000-0101,"1984-1987, SLTA, SMAN 5 YOGYAKARTA, YOGYAKARTA"
1701-00-0000-0101,"1987.1992, S1, UNTVERSITAS BRAWIJAYA, MALANG"
1701-00-0000-0601,Sekolah Dasa Swasta Argentina Jakarta Lulus tahun 1973
1701-00-0000-0601,Sekolah Menongah Petama Negeri 3 Jakarta Lulus tahun 1976
1701-00-0000-0601,Sekolah Menengah Mas LPSK Bandung tahun 1979
1701-00-0000-0601,Sekolah Tinggi ilmu Ekonomi Dharma Negara Bandung tahun 2006
1701-00-0000-0601,Pasca Sarjana Magister Manajenen STIMA IMM gokarta th 2010
1701-00-0000-0401,"SD LULUS 1973, SMP LULUS 1975"
1701-00-0000-0401,"SPRG JAKARTA LULUS 1970, S1, UNIVERSITAS BENGKULU 1994, S2 STIE GANESHA 2000"
1701-00-0000-0801,"Universitas Indonesia, Program Doktor Ilmu Politik, Depok, 2010-Sekarang"
1701-00-0000-0801,"Universitas Indonesia, S-2 Ilmu Politik, Depok, 2003-2005"
1701-00-0000-0801,"Institut Pertanian Bogor, Dokter Hewan, Bogor, 1988-1989"
1701-00-0000-0801,"Institut Pertanian Bogor, Sarjana Kesehatan Hewan, Bogor, 1984-1988"
1701-00-0000-0801,"SMA Negeri 5 Bandung, Bandung, 1979-1983"
1701-00-0000-0801,"SMP Negeri 1 Kendari, Kendari, 1978-1979"
1701-00-0000-0801,"SMP Negeri 1 Banjarmasin, Banjarmasin, 1976-1978"
1801-00-0000-0501,"1996-1998, SMAN 3 JAKARTA"
1801-00-0000-0501,"1998-1999. TUB LONDON SCHOOL, JAKARTA"
1801-00-0000-0501,"2006-2010, LONDON SCHOOL PUBLIC RELATION. JAKARTA"
1801-00-0000-0201,SDN I SUNGKA! UTARA (Lulus tahun 1978)
1801-00-0000-0201,SMPN IV TANJUNG KARANG (Lulus tahun 1981 )
1801-00-0000-0201,SMAN 1 TANJUNG KARANG( Lulus tahun 1984)
1801-00-0000-0201,UNIVERSITAS LAMPUNG (Lulus tahun 1992)
1801-00-0000-0601,"Madrasah Ibtidaiyah Islamiyah 1 Tembok, Lor Kabupaten Tegal 1975-1981"
1801-00-0000-0601,"SMP Ikhsaniyah Tegal timur, Kotla Tegal 1981-1984"
1801-00-0000-0601,"SMEA Negeri I Karanganyar, Kabupaten Tegal 1984-1987"
1801-00-0000-0601,Universtias ibnu Khaldun Jakarta Timur 2004-2009
1801-00-0000-1002,"SDN 2 TELADAN RAWALAUT, TANJUNG KARANG BANDAR LAMPUNG LULUS 1987"
1801-00-0000-1002,"SMPN 1 TANJUNG KARANG, BANDAR LAMPUNG LULUS 1990"
1801-00-0000-1002,SMA ARJUNA TANJUNG KARANG BANDAR LAMPUNG LULUS 1993
1801-00-0000-1002,SI FISIP UNIVERSITAS LAMPUNG LULUS 1999
1801-00-0000-1002,S2 HUKUM UNIVERSITAS LAMPUNG LULUS 2002
1801-00-0000-1002,KANDIDAT DOKTOR UNIV.SATYAGAMA JAKARTA
1801-00-0000-0301,"SD Persit, Tanjung Karang, Tahun Lulus 1978."
1801-00-0000-0301,"SMPN 72, Jakarta, TahunLulus 1981."
1801-00-0000-0301,"SMAN 4, Jakarta, Tahun Lulus 1984."
1801-00-0000-0301,"FISIP, Universitas Indonesia, Depok, Tahun Lulus 1992."
1801-00-0000-0301,"Magister Ilmu Komunikasi Politik, Universitas Sahid, Jakarta, Tahun Lulus 2012."
1801-00-0000-0709,"SD Negeri Teladan 16 Lampung, 1968"
1801-00-0000-0709,"SMP Negeri 2 Lampung, 1971"
1801-00-0000-0709,"SMA Negeri 2 Lampung, 1974"
1801-00-0000-0709,Tingkat III Fakultas Hukum UNILA 1977
1801-00-0000-0401,Universitas Sriwijaya / Lulus Tahun 1989
1801-00-0000-0401,SMA Negeri 4 Jakarta / Lulus Tahun 1983
1801-00-0000-0402,"S1 STIE PBM ( Pengembangan Bisnis Management) Jakarta, Lulus Tahun 2009"
1801-00-0000-0402,"SMA UTAMA 2 Tanjungkarang, Lulus Tahun 1985"
1801-00-0000-0402,"SMP PERSIAPAN Panjang, Lulus Tahun 1982"
1801-00-0000-0402,"SD NEGERI 01 Panjang, Lulus Tahun 1979"
1801-00-0000-0801,"Sekolah Tinggi Manajemen PPM, Jakarta, 2001-2003"
1801-00-0000-0801,"SMA Negeri 53, Jakarta, 1980-1982"
1801-00-0000-0801,"SD Lampung, Lampung, -"
1801-00-0000-0801,"SMP Lampung, Lampung, -"
1801-00-0000-0801,"Universitas Krisnadwipayana, Jakarta, -"
1802-00-0000-0101,"1965, SD, SD KETAPANG, LAMPUNG"
1802-00-0000-0101,"1967, SLTP, SMP NEGERI 2 BANDAR LAMPUNG, LAMPUNG"
1802-00-0000-0101,"1970, SLTA, SMA NEGERJ 1BANDAR LAMPUNG. LAMPUNG"
1802-00-0000-0101,"1983, S1, STIA LAN-ADM NEGARA JAKARTA, 2011, STIE-MANAJEMEN (S2) JAYAKARTA"
1802-00-0000-0501,"1977-1983, SDN JEMBER LOR III, JEMBER"
1802-00-0000-0501,"1983-1986, SMPN 3 JEMBER, JEMBER"
1802-00-0000-0501,"1986-1989, SMAN 2 PADANG, PADANG"
1802-00-0000-0501,"1989-1994, UNIVERSITAS TRISAKTI, JAKARTA"
1802-00-0000-0501,"1995-1998, UNIV.OF WESTEN SYDNEY NEPEAN, AUSTRALIA"
1802-00-0000-0501,"2001-2003, UNIV.PADJAJARAN, BANDUNG"
1802-00-0000-0501,"2004-2007, UNIV.PADJAJARAN, BANDUNG"
1802-00-0000-0201,
1802-00-0000-0601,
1802-00-0000-0301,"SDN Pandeglang, 1970 - 1975"
1802-00-0000-0301,"SMPN 1 Pandeglang, 1975-1979"
1802-00-0000-0301,"SMAN Pandeglang, 1979-1982"
1802-00-0000-0301,"S1 Fakultas Pertanian Universitas Lampung (Unila), 1982-1987"
1802-00-0000-0301,"S2 Fakultas Ekonomi, Unila, 2000-2002"
1802-00-0000-0703,SDN Way Tuba Gunung Labuhan
1802-00-0000-0703,SMPN 6 Tanjung Karang
1802-00-0000-0703,SMAN 3 Tanjung Karang
1802-00-0000-0703,S 1 Fak.Teknik Universitas Indonesia
1802-00-0000-0703,S2 Magister Managemen Universitas Indonesia
1802-00-0000-0401,SD Tahun 1962 s/d 1968 Tamat
1802-00-0000-0401,SMP Tahun 1968 s/d 1971 Tamat
1802-00-0000-0401,SMA Tahun 1971 s/d 1976 Tamat.
1802-00-0000-0401,Perguruan Tinggi Universitas Islam Indonesia Yogyakarta Tahun 1976 s/d 1982
1802-00-0000-0402,SMAN 1 - Tanjung Karang- Lampung 1963-1965
1802-00-0000-0402,"UI Jurusan sinologi 1965 - 1966 (tidak selesai, peristiwa gestapu)"
1802-00-0000-0402,"Medical Record Administrator- Sydney Australia, 1966 - 1969"
1802-00-0000-0402,"Secretary Course, Sydney Technical College, Australia, 1967"
1802-00-0000-0402,"UI Sarjana Sastra (SS) Jurusan Bahasa Inggris, 1979 - 1987"
1802-00-0000-0402,"Master of Business Administrator (MBA), LPPM Jakarta 1990-1992"
1802-00-0000-0801,"ITB (Tehnik Perminyakan) - Bandung, Bandung, 1972-1982"
1802-00-0000-0801,"UNILA (Pertanian) - Lampung, Lampung, 1967-1972"
1802-00-0000-0801,"SMAN 1 Tanjung Karang-Lampung, Lampung, 1964-1967"
1802-00-0000-0801,"SMPN Tanjung Karang-Lampung, Lampung, 1961-1964"
1802-00-0000-0801,"SRN Tanjung Karang - Lampung, Lampung, -1961"
1901-00-0000-0501,"1960-1966, SD, SD NEGERI SEMPAN, KAB.BANGKA"
1901-00-0000-0501,"1966-1970, SLTP, ST NEGERI. SUNGA1 LIAT"
1901-00-0000-0501,"1970-1973, SLTA, STM NEGERI, PANGKALAN PINANG"
1901-00-0000-0501,"1999-2001, S2, MSDM FISIP UNIVERSITAS INDONESIA, JAKARTA"
1901-00-0000-0501,"2013-2013, S3, MSDM UNIVERSITAS NEGERI JAKARTA, DKI JAKARTA (KANDIDAT)"
1901-00-0000-0501,"1974-1986, SI, SARJANA TEKNIK INDUSTRI S. TTN/ISTN JAKARTADKI"
1901-00-0000-0701,"SD Santa Theresia, tahun 1992"
1901-00-0000-0701,"SMPSanta Theresia Pangkalpinang, tahun 1995"
1901-00-0000-0701,"SMA Santo Yosef Pangkalpinang, tahun 1998"
1901-00-0000-0702,"S1 University of Technology Sydney, Australia"
1901-00-0000-0401,"S1 Teknik Mesin, Perguruan Tinggi UKRIDA Jakarta, Tahun 1981-1987"
1901-00-0000-0401,"SMA Swasta Sungailiat, Tamat Tahun 1977"
1901-00-0000-0401,"SMP Timah Pemali, Tamat Tahun 1974"
1901-00-0000-0401,"SD Nasional Pohin Air Duren, Tamat Tahun 1971"
2101-00-0000-0101,"1956-1962, SD, SRN PANGGAK LAUT,"
2101-00-0000-0101,"1962-1965, SLTP, SMPN DAIK, DAIK"
2101-00-0000-0101,"1965-1967, SLTA, KGB DAERAH DAIK, BATAM"
2101-00-0000-0101,"1973 -1976,SLTA, SPGN, TANJUNG PINANG"
2101-00-0000-0101,"1980.1984, SI, FAKI]LTAS KEGIJRUAN DAN ILMU PENDIDIKAN, PEKANBARU-RIAU"
2101-00-0000-0401,"SD Negeri II. Tanjung Boloi Korimun, luius tohun 1979"
2101-00-0000-0401,SMP Santo Yosef. Tanjung Boloi Korimun. Luius tohun 1982
2101-00-0000-0401,SMA Negeri 63. JOKOMO Seloion. Luius tahun 1985
2101-00-0000-0801,"S-2 (Magister), Magister Sains Program Pasca Sarjana UNAIR, Surabayat. -2004"
2101-00-0000-0801,"S-1 Fakultas ekonomi, Universitas Ekasakti, Jakarta, -1990"
2101-00-0000-0801,"D-3 Akutansi Fakultas Ekonomi Andalas, Padang, 1979-1983"
2101-00-0000-0801,"SMEA di Tanjung Pianang, 1976-1979"
2101-00-0000-0801,"SMP di Tanjung Pinang, 1973-1976"
2101-00-0000-0801,"SD di Tanjung Pinang, Tanjung Pinang, -1973"
3101-00-0000-0501,"1965-1970, SD, SDN KEPODANG, JAKPUS"
3101-00-0000-0501,"1971-1973, SLTP, SMPN I, JAKPUS"
3101-00-0000-0501,"1974-1976, SLTA, SMAN IV, JAKPUS"
3101-00-0000-0501,"1997-1982, S1, UNIV.GAJAH MADA SARJANA EKONOMI, YOGYAKARTA"
3101-00-0000-0906,"Madrasah Ibtidaiyah Indramayu, lulus tahun 1967"
3101-00-0000-0906,"Pesantren As Salafiyah Babakan Ciwaringin Cirebon,lulus tahun 1970"
3101-00-0000-0906,"Madrasah Tsanawiyah Negeri Cirebon, lulus tahun 1971"
3101-00-0000-0906,"SP IAIN Cirebon, lulus tahun 1974"
3101-00-0000-0906,"SM Fak. Hukum Universitas Ibnu Chaldun Jakarta, lulus tahun 1985"
3101-00-0000-0906,"Sl Fak. Hukum Universitas lbnu Chaldun Jakarta, lulus tahun 1988"
3101-00-0000-0906,"52 Fak.Dakwah Universitas Islam As-Syafi'iyah Jakarta, lulus tahun 2012"
3101-00-0000-0601,Sekolah Dasar - Solok Sumbar - Lulus Tahun 1963
3101-00-0000-0601,Sekolah Menengah Pertama - Solok Sumbar - Lulus Tahun 1966
3101-00-0000-0601,Sekolah Menengah Atas - Sawahlunto Sumbar - Lulus Tahun 1969
3101-00-0000-0601,Perguraun Tinggi - FISIP UI - Lulus Tahun 1996
3101-00-0000-0601,AKABRI - Magelang - Lulus Tahun 1973
3101-00-0000-0601,SESKOAL - Bandung - Lulus Tahun 1989
3101-00-0000-0601,SESKO ABRI - Lulus Tahun 1996
3101-00-0000-0601,LEMHANAS - Jakarta - Lulus Tahun 1999
3101-00-0000-0301,"Univ Imam Muhammad Ibnu Sa'ud - LIP1A, Jakarta, tahun 199"
3101-00-0000-0301,"Madrasah Aliyah PP Walisongo, Ponorogo, tahun 1985"
3101-00-0000-0301,"MTs Negeri Jetis, Ponorogo, tahun 1982"
3101-00-0000-0301,SD Mamba'ul Huda PP Walisongo. Ponorogo. tahun 1979
3101-00-0000-0703,"SD Ria Kardka Chandra Kirana, Jakarta, 1993"
3101-00-0000-0703,"SMP Negeri 20, Bulak Rantai-Jakarta, 1996"
3101-00-0000-0703,"SMU Negeri 39, Cijantung-Jakarta, 1999"
3101-00-0000-0703,"S1 Curtin University, Perth-Australia, 2004"
3101-00-0000-0401,SEKOLAH BASAK SUMBANGSIM JL SETIABODI JAKARA SEKLATAN
3101-00-0000-0401,SEKOLAH MENEGAH PERTAMA NEGERI XIII X. METAYASA JAKARTA
3101-00-0000-0401,SEKOLAH MENENGAH PERTAMA NEGERI XIII X SEMA BUDI TENOH JAKARTA SELATAN
3101-00-0000-0402,"S1, EKONOMI UNIVERSITAS INDONESIA, JAKARTA"
3101-00-0000-0403,"SERTIFIKASI, PERHOTELAN, CORNELL UNIVERSITY, AMERIKA SERIKAT, HOTEL FACHHOCH SCHULE, JERMAN"
3102-00-0000-0501,"1980-1985, SD, SD MEXICO, JAKARTA"
3102-00-0000-0501,"1986-1988, SLTP, SMP LL KEBAYORAN BARU, JAKARTA"
3102-00-0000-0501,"1988-1991, SLTA, SMA 82(FISIKA), JAKARTA"
3102-00-0000-0501,"1991-1995, S1 ELEKTRO UNIV DIPONEGORO, SEMARANG"
3102-00-0000-0501,"1998-2000, S2, UI.KOMPUTER, DEPOK"
3102-00-0000-0901,"Sarjana Psikologi, Universitas Indonesia, 1988"
3102-00-0000-0901,"Magister Science of Psycrology, Universitas Indonesia, 2009"
3102-00-0000-0601,"Sekolah Tinggi Manajemen IMMI, Jakarta 2007"
3102-00-0000-0601,"Metropolitan States College, Denver, Colorado, United State of America Majoring in Computer Management Science 1988"
3102-00-0000-0601,SMU Pangudi Lahur Jakarta 1983
3102-00-0000-0601,SMPN 13 Jakarta 1980
3102-00-0000-0601,SDN Tebet Pagi ii Jakarta 1977
3102-00-0000-0301,"PONDOK PESANTREN MODERN GONTOR PONOROGO,JAWA TIMUR (1978)"
3102-00-0000-0301,"SARJANA UNIV. ISLAM MADINAH, SAUDI ARABIA,FAKULTAS DAKWAH&USHULUDIN, JURUBSAN AQUIDAH DAKWAH&USHULUDIN,"
3102-00-0000-0301,MASTER UNIV. ISLAM MADINAH. SAUDI ARABIA DEPARTMENT AQIDAH (1987)
3102-00-0000-0301,PROCRAM DOKTOR UNIV. ISLAM MADINAH SAUDI ARABIA (1992)
3102-00-0000-0701,SD PERGURUAN CIKNI - KKT - THN. 1963
3102-00-0000-0701,SMP PERGURUAN CIKNI - JKT - THN. 1966
3102-00-0000-0701,SLTA PSKDI - JKT THN. 1969
3102-00-0000-0701,STIE GANESHA - JKT - THN. 2002
3102-00-0000-0701,STIA YAPPAN - JKT - THN. 2007
3102-00-0000-0401,"SDN 101972 Sungai Putih, Deli Serdang (1975-1981)"
3102-00-0000-0401,"SMP YPAK Sungai Karang, Deli Serdang (1981-1983)"
3102-00-0000-0403,"SDNEGERI OGOGSI, LABCHHAN DELI, MEDAN, 1984"
3102-00-0000-0403,"SMPNEGERI LABVHAN DELI, MEDAN, 1987"
3102-00-0000-0403,"SMADR.WAHIDIN SUDIROHUSODO, MEDAN, 1990"
3102-00-0000-0404,"S1, HUKUM SEKOLAH TINGGI HUKUM INDONESIA, JAKARTA 2003"
3103-00-0000-0101,"SD NEGERI KEBON BAWANG 05, JAKARTA UTARA LULUS TAHUN 1991"
3103-00-0000-0101,"SMP YAPPENDA, JAKARTA UTARA LULUS TAHUN 1994"
3103-00-0000-0101,"SMU NEGERI 114, JAKARTA UTARA LULUS TAHUN 1997"
3103-00-0000-0101,"STIE PELITA BANGSA, KABUPATEN BEKASI LULUS TAHUN 2013"
3103-00-0000-0501,"1977-1980, SLTA, STM NEGER1 1, PALEMBANG"
3103-00-0000-0501,"1980-1982, DIPLOMA, AKADEMI KEPAR1WISATAAN INDONESIAYOGYAKARTA"
3103-00-0000-0501,"1981-1982. DIPLOMA. Dl NATIONAL HOTEL&TOURISM, INSTITUTE BANDUNG"
3103-00-0000-0501,"2009-2010, DIPLOMA, MASSACHUSETTS INSTITUTE OF TECHNOLOGY(MIT), BOSTON AMERIKA SERIKAT"
3103-00-0000-0901,SDN III Labuan Pandeglang (1979)
3103-00-0000-0901,SMPN I pandeglang (1982)
3103-00-0000-0901,SMAN I Pandeglang(1985)
3103-00-0000-0901,WAIC PERTH WA Australia(1988)
3103-00-0000-0901,SI Ilmu Hukum Universitas indonusa easa unggul Jakarta(2004)
3103-00-0000-0901,S2ILmu Politik Universitas Indonesia Jakarta(2006)
3103-00-0000-0901,"S2Ilmu Hukum, Universitas pasundan Bandung(2007)"
3103-00-0000-0901,"S3 Ilmu hukum, Universitas, padjadjaran Bandung(2012)"
3103-00-0000-0601,"S1, UNIVERSITY OF DURHAM, UNITED KINGDOM (2004)"
3103-00-0000-0602,"S2, SOUTHEAST ASIAN STUDIES, UNIVERSITY OF LONDON SCHOOL OF ORIENTAL AND AFRICAN STUDIES UNITED KINGDOM (2008)"
3103-00-0000-0603,"EXECUTIVE PROGRAM, TSINGHUA SCHOOL OF ECONOMIC & MANAGEMENT, BEIJING, CHINA (2012)"
3103-00-0000-0302,SEKOLAH RAKYAT BLOCK-D/ KEBAYORAN BARU /1958
3103-00-0000-0302,SEKOLAH MENENGAH PERTAMA -XXIX / KEBAYORAN BARU /1964
3103-00-0000-0302,SEKOLAH MENENGAH ATAS - III / BANDUNG / 1967
3103-00-0000-0401,SDN Cendrawasih di Banjar Baru Lulis Tahun 1975
3103-00-0000-0401,SMPN 41 di Jakarta Lulus Tahun 1979
3103-00-0000-0401,SMAN 03 di Jakarta Lulus Tahun 1988
3103-00-0000-0401,Strata 1 Univ. Jaya Baya Lulus Tahun 1988
3103-00-0000-0402,"SMA FONS VITAE I, JAKARTA (MATRAMKN), 1986"
3103-00-0000-0402,"FAKULTAS EKONOMI UNIKA ATMAJAYA, JAKARTA 1990(S-1)"
3103-00-0000-0402,"CITY UNIVERSITY OF MANILA, PHILLIPINES (PAMKNTKSAN NE LUNGSODNG MAYNILK), 1993(MBA(S2)"
3103-00-0000-0402,"SIKOLAH TINGGI ILMU MANAAMEN JAKARTA, 1998, MM Marketing (Pemasoran)-S2"
3103-00-0000-0407,"SD Pelita Harapan, Karawaci, 1996"
3103-00-0000-0407,"SMP Pelita Harapan, Karawaci, 1999"
3103-00-0000-0407,"Christ Church Grammar School, Australia, 2001"
3103-00-0000-0407,"International Christian University, Tokyo, 2007"
3201-00-0000-0502,"1954-1957, SLTA, SMA NEGERI V, BANDUNG"
3201-00-0000-0502,"1959-1982, S1, UNPAD, BANDUNG"
3201-00-0000-0601,"Taman Kanak Kanak (TK) Harapan Bunda: Jalan Sangkunang, Bandung, lulus 1963"
3201-00-0000-0601,"Sekolah Dasar (SD) Coblong III: JIn IR H Juanda -Dago,Bandung,LuLus tahun 1969"
3201-00-0000-0601,"Sekolah Menengah Pcrtama (SMP) Negeri V, JIn Sumatera Bandung, Lulus tahun 1972"
3201-00-0000-0601,"Sekolah Menengah pcrtama (SMA) Negeri V, JIn Belitung, Bandung, Lulus tahun 1975"
3201-00-0000-0601,"Universitas Negeri Padjadjaran (UNPAD), Fakultas Pertanian, Departemen Sosial Ekonomi, JIn Dipati Ukur,Bandung, Lulus tahun 1980"
3201-00-0000-0601,"Universitas Negeri Padjadjaran, UNPAD, Fakultas Pasca Sarjana, Program Magister Spesialisasi Agribisnis, JIn Dipati Ukur Bandung, Lulus tahun 1989"
3201-00-0000-0601,"Universitas Pendidikan Indonesia (UPI) Bandung, Sekolah Pasca Sarjana, Program Doktor, Spesialisasi Total Quality Management untuk Lembaga Pendidikan, Lulus tahun 2011"
3201-00-0000-1001,"SD lskandaria, Jakarta (1975-1981)."
3201-00-0000-1001,"SMPN 12, Jakarta (1981-I984)."
3201-00-0000-1001,"SMAN 46, Jakarta (1984-I987)."
3201-00-0000-1001,"MA in Communications from University of Westminister, London UK (1999-2000)."
3201-00-0000-1001,"State University of Padjajaran Law School, Bandung (1987-1992)."
3201-00-0000-0303,"S2, Psikologi Terapan, FPsikologi, Universitas Indonesia, Depok, 2002"
3201-00-0000-0303,"SI, Kimia, FMIPA, Universitas Indonesia, Depok, 1993"
3201-00-0000-0303,"SMA Islam AI Azhar, Jakarta Selatan, 1987"
3201-00-0000-0303,"SMPN 47, Jakarta Pusat, 1984"
3201-00-0000-0303,"SD Taman Siswa Rawasari, Jakarta Pusat, 1981"
3201-00-0000-0701,"SD ""I.M.K.A/Y.M.C.A"" III Surabava Tahun 1979"
3201-00-0000-0701,SMP Negeri 2 Semarang Tahun 1982
3201-00-0000-0701,SMA Negeri 5 Surabaya Tahun 1985
3201-00-0000-0701,SI Universitas Merdeka Malang Tahun 1989
3201-00-0000-0701,S2 STIE IPWIJA. Jakarta Tahun 2012
3201-00-0000-0401,"SD NEGERI 17/21 SINGARAJA, BALI, LULUS 1975"
3201-00-0000-0401,"SMP NEGERI 1 SINGARAJA, BALI, LULUS 1979"
3201-00-0000-0401,"SMA NEGERI SINGARAJA, BALI, LULUS 1982"
3201-00-0000-0401,"JURUSAN TEKNIK SIPIL, INSTITUT TEKNOLOGI BANDUNG, LULUS 1988"
3201-00-0000-0405,SD XAVENIUS V PALEMBANG 1982
3201-00-0000-0405,SMP DIPONEGORO KISARAN 1985
3201-00-0000-0405,SMAN 34 JAKARTA 1988
3201-00-0000-0405,FE UNIVERSITAS PADJADJARAN BANDUNG 1995
3202-00-0000-0501,"1975-1981, SD, PANGUDI LUHUR, INDNONESIA"
3202-00-0000-0501,"1981-1984, SLTP. PANGUDI LUHUR. INDONESIA"
3202-00-0000-0501,1986-1987. SLTA. W1LL1STON NORTHAMPTON SCHOOL USA
3202-00-0000-0501,"1991-1994, SI, PACIFIC WESTREN UNIVERSIT, YUSA"
3202-00-0000-0501,"2007-2009, S2, UNIVERSTTAS PASUNDAN, BANDUNG"
3202-00-0000-0501,2010-2014. S3. UNPAD ILMU PEMER1NTAHAN. BANDUNG
3202-00-0000-0502,"1958-1961. SLTA. SLTA NEGERI III, BANDUNG"
3202-00-0000-0502,"1968-1972, Sl, INSTITUTE TEKNOLOGI. BANDUNG"
3202-00-0000-0502,"1972-1976, Sl, UNIVERS1TAS ISLAM NUSANTARA BANDUNG,BANDUNG"
3202-00-0000-0502,"1991-1996, S2, KENNEDY WESTERN UNIVERSITY. AMERIKA SERIKAT"
