id,province_id,year
1,11,2009
2,12,2009
3,13,2009
4,14,2009
5,15,2009
6,16,2009
7,17,2009
8,18,2009
9,19,2009
10,21,2009
11,31,2009
12,32,2009
13,33,2009
14,34,2009
15,35,2009
16,36,2009
17,51,2009
18,52,2009
19,53,2009
20,61,2009
21,62,2009
22,63,2009
23,64,2009
24,71,2009
25,72,2009
26,73,2009
27,74,2009
28,75,2009
29,76,2009
30,81,2009
31,82,2009
32,91,2009
33,94,2009
34,11,2010
35,12,2010
36,13,2010
37,14,2010
38,15,2010
39,16,2010
40,17,2010
41,18,2010
42,19,2010
43,21,2010
44,31,2010
45,32,2010
46,33,2010
47,34,2010
48,35,2010
49,36,2010
50,51,2010
51,52,2010
52,53,2010
53,61,2010
54,62,2010
55,63,2010
56,64,2010
57,71,2010
58,72,2010
59,73,2010
60,74,2010
61,75,2010
62,76,2010
63,81,2010
64,82,2010
65,91,2010
66,94,2010
67,11,2011
68,12,2011
69,13,2011
70,14,2011
71,15,2011
72,16,2011
73,17,2011
74,18,2011
75,19,2011
76,21,2011
77,31,2011
78,32,2011
79,33,2011
80,34,2011
81,35,2011
82,36,2011
83,51,2011
84,52,2011
85,53,2011
86,61,2011
87,62,2011
88,63,2011
89,64,2011
90,71,2011
91,72,2011
92,73,2011
93,74,2011
94,75,2011
95,76,2011
96,81,2011
97,82,2011
98,91,2011
99,94,2011
100,11,2012
101,12,2012
102,13,2012
103,14,2012
104,15,2012
105,16,2012
106,17,2012
107,18,2012
108,19,2012
109,21,2012
110,31,2012
111,32,2012
112,33,2012
113,34,2012
114,35,2012
115,36,2012
116,51,2012
117,52,2012
118,53,2012
119,61,2012
120,62,2012
121,63,2012
122,64,2012
123,71,2012
124,72,2012
125,73,2012
126,74,2012
127,75,2012
128,76,2012
129,81,2012
130,82,2012
131,91,2012
132,94,2012
133,11,2013
134,12,2013
135,13,2013
136,14,2013
137,15,2013
138,16,2013
139,17,2013
140,18,2013
141,19,2013
142,21,2013
143,31,2013
144,32,2013
145,33,2013
146,34,2013
147,35,2013
148,36,2013
149,51,2013
150,52,2013
151,53,2013
152,61,2013
153,62,2013
154,63,2013
155,64,2013
156,71,2013
157,72,2013
158,73,2013
159,74,2013
160,75,2013
161,76,2013
162,81,2013
163,82,2013
164,91,2013
165,94,2013
,11,2014
,12,2014
,13,2014
,14,2014
,15,2014
,16,2014
,17,2014
,18,2014
,19,2014
,21,2014
,31,2014
,32,2014
,33,2014
,34,2014
,35,2014
,36,2014
,51,2014
,52,2014
,53,2014
,61,2014
,62,2014
,63,2014
,64,2014
,71,2014
,72,2014
,73,2014
,74,2014
,75,2014
,76,2014
,81,2014
,82,2014
,91,2014
,94,2014
